1A         | I. NAKİT DEĞERLER VE MERKEZ BANKASI                     | I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY | v1=501656898000
1AA        | II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net)                  | II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net) | v1=28159700000
1AAA       | 2.1 Alım Satım Amaçlı Finansal Varlıklar                | 2.1 Trading Financial Assets (Net)            | v1=0
1AAB       | 2.1.1 Devlet Borçlanma Senetleri                        | 2.1.1 Public Sector Debt Securities           | v1=0
1AAC       | 2.1.2 Sermayede Payı Temsil Eden Menkul Değerler        | 2.1.2 Share Certificates                      | v1=0
1AAD       | 2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar        | 2.1.3 Trading Derivative Financial Assets     | v1=0
1AAE       | 2.1.4 Diğer Menkul Değerler                             | 2.1.4 Other Marketable Securities             | v1=0
1AB        | 2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.                  | 2.2 Reclassed as Financial Assets Designated at Fair Value | v1=28159700000
1ABA       | 2.2.1 Devlet Borçlanma Senetleri                        | 2.2.1 Government Debt Securities              | v1=14846805000
1ABB       | 2.2.2 Sermayede Payı Temsil Eden Menkul Değerler        | 2.2.2 Securities Representing Share in Equity | v1=2462254000
1ABC       | 2.2.3 Krediler                                          | 2.2.3 Loans                                   | v1=0
1ABD       | 2.2.4 Diğer Menkul Değerler                             | 2.2.4 Other Marketable Securities             | v1=10850641000
1AC        | III. BANKALAR                                           | III. BANKS                                    | v1=75077333000
1AD        | IV. PARA PİYASALARINDAN ALACAKLAR                       | IV. RECEIVABLES FROM MONEY MARKETS            | v1=0
1ADA       | 4.1 Bankalararası Para Piyasasından Alacaklar           | 4.1 Interbank Money Market Placements         | v1=0
1ADB       | 4.2 İMKB Takasbank Piyasasından Alacaklar               | 4.2 Receivables From Istanbul Stock Exchange Money Market | v1=0
1ADC       | 4.3 Ters Repo İşlemlerinden Alacaklar                   | 4.3 Receivables From Reverse Repurchase Agreements | v1=0
1AE        | V. SATILMAYA HAZIR FİNANSAL VARLIKLAR (Net)             | V.AVAILABLE VAILABLE FOR SALE FINANCIAL ASSETS (Net) | v1=0
1AEA       | 5.1 Sermayede Payı Temsil Eden Menkul Değerler          | 5.1 Securities Representing Share in Equity   | v1=0
1AEB       | 5.2 Devlet Borçlanma Senetleri                          | 5.2 Government Debt Securities                | v1=0
1AEC       | 5.3 Diğer Menkul Değerler                               | 5.3 Other Marketable Securities               | v1=0
1AF        | VI. KREDİLER                                            | VI. LOANS                                     | v1=1884653992000
1AFA       | 6.1 Krediler                                            | 6.1 Short Term                                | v1=1884653992000
1AFB       | 6.1.1 Bankanın Dahil Olduğu Risk Grubuna Kullandırılan Krediler | 6.1.1 Loans Granted To The Bank's Risk Group  | v1=0
1AFC       | 6.1.2 Diğer                                             | 6.1.2 Other                                   | v1=0
1AFD       | 6.2 Takipteki Krediler                                  | 6.3 Loans Under Follow-Up                     | v1=0
1AFE       | 6.3 Özel Karşılıklar (-)                                | 6.4 Specific Provisions (-)                   | v1=0
1AG        | VII. FAKTORİNG ALACAKLARI                               | VII. FACTORING RECEIVABLES                    | v1=0
1AH        | VIII. VADEYE KADAR ELDE TUTULACAK YATIRIMLAR (Net)      | VIII. HELD TO MATURITY INVESTMENT (Net)       | v1=0
1AHA       | 8.1 Devlet Borçlanma Senetleri                          | 8.1 Government Debt Securities                | v1=0
1AHB       | 8.2 Diğer Menkul Değerler                               | 8.2 Other Marketable Securities               | v1=0
1AI        | IX. İŞTİRAKLER (Net)                                    | IX. INVESTMENTS AND ASSOCIATES (Net)          | v1=20956000
1AIA       | 9.1 Özkaynak Yöntemine Göre Muhasebeleştirilenler       | 9.1 Accounted With Equity Method              | v1=0
1AIB       | 9.2 Konsolide Edilmeyenler                              | 9.2 Non-Consolidated Investments And Associates | v1=20956000
1AIC       | 9.2.1 Mali İştirakler                                   | 9.2.1 Financial Investments And Associates    | v1=0
1AID       | 9.2.2 Mali Olmayan İştirakler                           | 9.2.2 Non-Financial Investments And Associates | v1=0
