2026-08-05 14:54:30 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 14:54:31 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 14:54:33 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 14:54:34 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c8e21cef8018e2de1258c2053 "HTTP/1.1 200 OK"
2026-08-05 14:54:36 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1643421 "HTTP/1.1 200 OK"
2026-08-05 14:54:37 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328d9f52dddc019fd11ad3fa0d9d "HTTP/1.1 200 OK"
2026-08-05 14:54:38 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inin 'türev' bölümü grup toplamı beklenenden (%100) sapıyor (0.00) -- ayrıştırma bu bölüm için GÜVENİLİR DEĞİL, boş liste dönüyor (Kural 3).
2026-08-05 14:54:40 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 14:54:41 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 14:54:42 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 14:54:43 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328c55a2cb380155e8ee23a61563 "HTTP/1.1 200 OK"
2026-08-05 14:54:45 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1624221 "HTTP/1.1 200 OK"
2026-08-05 14:54:46 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f0a0859019f28f853fa0de1 "HTTP/1.1 200 OK"
2026-08-05 14:54:48 | INFO     | src.fetchers.kap_fund_portfolio | PDF'te 'TÜREV' bölümü bulunamadı.
2026-08-05 14:54:50 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 14:54:51 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 14:54:53 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 14:54:54 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=4028328d86d233be0187506436f7058d "HTTP/1.1 200 OK"
2026-08-05 14:54:55 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1642174 "HTTP/1.1 200 OK"
2026-08-05 14:54:56 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f52dc40019fc7c9439b2305 "HTTP/1.1 200 OK"
2026-08-05 14:54:57 | INFO     | src.fetchers.kap_fund_portfolio | PDF'te 'TÜREV' bölümü bulunamadı.
2026-08-05 14:54:59 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 14:55:00 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 14:55:02 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 14:55:03 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=33E5FED7E64F00EAE0530A4A622B2AEA "HTTP/1.1 200 OK"
2026-08-05 14:55:05 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1623115 "HTTP/1.1 200 OK"
2026-08-05 14:55:06 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f0a0859019f2322feab3a25 "HTTP/1.1 200 OK"
2026-08-05 14:59:23 | WARNING  | src.fetchers.kap_fund_portfolio | KAP portföy dağılım PDF'inin 'fon' bölümü grup toplamı beklenenden (%100) sapıyor (13.87) -- ayrıştırma bu bölüm için GÜVENİLİR DEĞİL, boş liste dönüyor (Kural 3).
2026-08-05 14:59:24 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 14:59:25 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 14:59:27 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
2026-08-05 14:59:28 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/bildirim-sorgu-sonuc?srcbar=Y&cmp=N&cat=2&m=33E5FED7E65700EAE0530A4A622B2AEA "HTTP/1.1 200 OK"
2026-08-05 14:59:29 | INFO     | httpx | HTTP Request: GET https://www.kap.org.tr/tr/Bildirim/1623117 "HTTP/1.1 200 OK"
2026-08-05 14:59:30 | INFO     | httpx | HTTP Request: GET https://kap.org.tr/tr/api/file/download/4028328c9f0a0859019f232300723a39 "HTTP/1.1 200 OK"
2026-08-05 15:00:21 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/funds/fonBilgiGetir "HTTP/1.1 200 OK"
2026-08-05 15:00:23 | INFO     | httpx | HTTP Request: POST https://www.tefas.gov.tr/api/statistics/tefas/getFplFonList "HTTP/1.1 200 OK"
2026-08-05 15:00:25 | INFO     | httpx | HTTP Request: POST https://www.kap.org.tr/tr/api/search/combined "HTTP/1.1 200 OK"
